,Stats,Overall,attack,defense,strength,hitpoints,ranged,prayer,magic,cooking,woodcutting,fletching,fishing,firemaking,crafting,smithing,mining,Herblore,agility,thieving,slayer,farming,runecrafting,hunter,construction
total,total,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
attack,attack,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
defense,defense,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
strength,strength,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
hitpoints,hitpoints,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
ranged,ranged,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
prayer,prayer,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
magic,magic,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
cooking,cooking,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
woodcutting,woodcutting,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
fletching,fletching,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
fishing,fishing,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
firemaking,firemaking,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
crafting,crafting,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
smithing,smithing,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
mining,mining,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
herblore,herblore,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
agility,agility,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
thieving,thieving,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
slayer,slayer,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
farming,farming,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
runecrafting,runecrafting,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
hunter,hunter,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
construction,construction,1977,92,93,95,99,97,75,99,88,87,80,83,82,85,83,81,83,77,80,95,86,77,78,82
