,Stats,Overall,attack,defense,strength,hitpoints,ranged,prayer,magic,cooking,woodcutting,fletching,fishing,firemaking,crafting,smithing,mining,Herblore,agility,thieving,slayer,farming,runecrafting,hunter,construction
total,total,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
attack,attack,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
defense,defense,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
strength,strength,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
hitpoints,hitpoints,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
ranged,ranged,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
prayer,prayer,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
magic,magic,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
cooking,cooking,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
woodcutting,woodcutting,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
fletching,fletching,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
fishing,fishing,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
firemaking,firemaking,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
crafting,crafting,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
smithing,smithing,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
mining,mining,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
herblore,herblore,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
agility,agility,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
thieving,thieving,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
slayer,slayer,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
farming,farming,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
runecrafting,runecrafting,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
hunter,hunter,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
construction,construction,2013,95,93,96,99,97,80,98,91,87,88,85,85,93,78,77,87,77,86,94,89,70,85,83
